actual_target,predicted_target,発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点
0,0.5713185633590426,1,4,8,43,5,2,7,7,3,9,1
1,0.8686882189591131,1,3,14,10,5,4,14,7,3,9,1
0,0.3138485204855649,1,14,7,28,1,1,14,7,3,9,20
1,0.7212312197034543,1,2,17,50,1,1,14,7,3,9,1
0,0.3734080740792325,1,4,3,39,1,1,1,1,18,9,30
0,0.4172091782695086,12,16,18,15,3,2,14,7,4,8,1
0,0.40083753948632317,1,28,18,23,2,1,14,7,3,9,1
1,0.7665669757795619,12,25,17,40,1,1,1,1,12,9,30
1,0.7717018500329755,1,15,16,45,1,1,11,7,3,9,1
1,0.42945822580367726,1,12,8,30,1,1,1,7,12,9,30
0,0.11391840859415422,1,10,7,40,1,1,1,1,15,9,30
1,0.5035788685267386,1,3,13,50,1,1,14,7,2,9,1
0,0.8923153407235961,1,5,9,28,1,1,7,1,3,9,1
1,0.9021477162127507,1,7,11,45,1,3,7,7,3,9,20
1,0.34653143686193233,1,20,8,40,1,1,14,7,2,9,1
1,0.48140075104254726,1,22,12,45,1,1,1,7,12,9,30
1,0.4823577376011981,1,15,10,53,1,1,1,7,12,9,30
1,0.34369877333166104,1,4,20,0,1,1,1,7,11,9,30
1,0.7345586995627548,12,31,14,12,5,3,7,7,3,9,1
0,0.025127628120334103,1,26,19,55,1,1,1,7,14,9,30
0,0.21477193046804227,1,7,6,54,2,3,13,7,4,2,1
0,0.6035839352997253,1,19,22,18,1,1,1,7,17,9,30
1,0.4871098705212367,1,5,13,55,1,1,14,7,3,9,1
1,0.7048863551804821,1,25,8,40,1,1,7,1,3,9,1
0,0.17157154130861388,1,13,22,8,1,1,1,1,13,8,30
0,0.35920619520253105,1,21,8,0,1,1,1,1,15,9,30
0,1.0038482992222437,12,26,11,20,5,3,7,1,3,9,1
0,0.013001502815525494,1,4,9,40,1,1,1,1,15,9,30
1,0.47144669181986754,1,12,7,50,5,3,14,7,3,8,1
1,0.3167243400345985,1,23,17,36,1,1,1,1,18,9,30
1,0.6706756740451829,1,23,12,38,1,1,14,7,3,7,1
0,0.6189120891284245,11,19,1,32,2,1,14,7,4,9,1
0,-0.009072537182091828,1,31,15,55,2,1,1,1,15,9,30
1,0.6835009719644703,1,9,20,50,1,1,14,7,4,9,1
1,0.10267329194475378,1,7,15,40,1,2,13,7,3,2,1
1,0.8892051772185785,1,13,11,35,2,4,1,7,12,9,30
0,0.7185441031420222,1,30,10,38,1,1,14,7,2,9,1
0,0.5163838534230368,1,5,10,58,1,1,14,7,3,9,1
1,0.35051063577189323,1,21,13,52,1,1,1,1,15,9,30
0,0.3464517976765648,1,6,9,25,1,2,1,2,14,9,30
0,0.19052403817880229,1,24,8,45,2,1,1,1,16,9,30
1,0.9590805835575141,1,9,10,20,2,4,14,7,3,9,1
0,-0.08694768801195708,1,12,16,55,1,1,13,7,1,1,1
1,0.6672049287243819,1,25,11,25,1,1,14,7,5,9,1
0,0.7280805487058284,1,10,12,25,1,1,1,1,14,9,30
1,0.3070402343029519,1,11,9,50,3,1,14,7,3,9,1
1,0.6101249539184393,1,21,4,49,1,1,7,1,5,9,1
1,0.5827878682076799,1,10,12,8,1,1,1,1,18,9,30
1,0.3204551905262075,1,16,14,10,1,1,14,7,2,7,1
0,0.5873229469552544,12,3,9,5,1,1,1,1,12,7,30
1,0.17265832153380428,1,11,21,0,3,2,1,1,15,7,30
1,0.6451449543020144,1,3,11,30,1,1,1,1,18,9,30
0,0.3138563958673656,11,29,13,15,1,1,0,7,0,0,20
1,0.7431664807865351,12,21,17,30,1,1,14,7,5,9,1
0,0.17745327509227296,1,28,18,38,1,1,0,7,0,0,20
1,0.14771188061835994,1,4,9,2,1,1,14,7,4,9,1
0,0.269945348028475,1,12,12,40,1,1,13,7,3,5,1
1,0.4684596860386639,1,5,12,10,1,2,14,7,5,9,1
0,0.4238745879512285,12,27,11,20,5,2,14,7,3,9,1
1,0.5750510272840356,1,12,12,43,2,2,7,1,4,9,1
1,0.34161085901024446,1,4,19,50,1,1,14,7,1,9,1
1,1.0331610120480206,1,1,15,25,2,3,1,2,15,9,30
1,0.4242906205042065,11,20,17,55,1,1,1,1,15,9,30
0,0.6161270111449341,1,6,11,21,5,2,14,7,3,9,1
0,0.8892714786268872,1,6,14,39,5,4,1,1,15,9,30
1,0.9615792976328769,1,3,17,21,1,1,14,7,5,9,1
0,0.20512069845437222,1,11,19,29,2,2,1,7,12,9,30
0,0.5193398180412055,1,26,14,0,2,1,14,7,4,9,1
0,0.8231096393859099,12,31,15,55,2,1,14,7,3,9,1
0,0.24787259709691944,1,25,20,15,3,2,1,7,15,9,30
1,0.3381349719666256,1,16,12,20,1,1,1,7,11,3,30
1,0.6930662162258946,1,7,12,40,1,3,14,7,3,9,1
0,0.1957909798185079,1,12,11,5,1,1,1,7,14,8,30
1,0.5977799104446556,1,4,11,22,1,1,14,7,2,9,1
0,0.24265660836127,1,27,15,15,2,1,14,7,1,9,1
0,0.391694503117383,1,21,10,20,2,2,1,1,15,9,30
1,0.5687016305709333,12,15,13,30,1,1,1,7,11,9,30
0,0.34653723161317235,1,20,4,43,1,1,1,1,15,9,30
1,0.5387933046286771,12,29,19,55,5,3,14,7,3,9,1
0,0.09733455545581453,1,28,11,25,1,1,1,7,13,9,30
1,0.692789643922331,12,28,10,32,1,1,0,7,0,0,20
0,0.6191484145788616,1,1,13,50,1,2,14,7,3,9,1
1,0.15563393971126657,1,15,13,30,1,2,14,7,1,9,20
0,0.42451023519950065,1,22,5,57,1,1,1,7,11,9,30
1,0.601003583675948,1,7,14,28,5,2,1,1,17,9,30
1,0.2882869502328601,1,27,6,13,1,1,1,1,19,9,30
1,0.20329953236764714,1,28,13,38,1,1,14,7,3,9,1
0,0.7586374454613953,1,15,10,55,1,1,14,7,4,9,1
0,0.22637444564881862,1,21,15,14,1,1,1,7,11,9,30
1,0.7999924505829977,11,6,13,30,1,1,7,2,4,9,1
0,0.4877332858335623,1,17,10,10,1,1,14,7,2,9,1
1,0.6614145498975184,1,12,6,35,5,4,0,7,0,0,20
0,0.18910501745841013,1,22,8,33,1,1,1,7,11,9,30
1,0.699985041503595,1,6,0,7,1,1,7,1,2,9,1
0,0.6421669444240707,12,1,7,15,4,2,14,7,3,7,20
1,0.3819486687953532,1,7,8,0,1,3,14,7,3,8,1
0,0.6193629418634008,1,10,13,13,1,1,13,7,2,1,1
0,-0.07250585728031732,1,5,11,40,1,1,1,4,11,9,30
0,0.6507276576577015,1,8,14,45,1,1,14,7,3,7,1
1,0.1731650467690342,1,28,8,32,1,1,7,7,2,9,1
0,0.8452391650171436,1,2,19,32,1,1,14,7,5,9,1
1,1.0284689314973718,12,30,16,22,2,1,1,1,15,9,30
1,0.2837917713300784,1,4,7,40,5,4,13,7,3,2,1
0,0.29211774982283595,1,17,9,14,1,2,1,1,15,9,30
1,0.7970235412825164,1,2,19,30,1,1,1,1,11,9,30
1,0.17552603476154158,6,30,9,30,1,1,1,7,16,9,30
0,0.44726640965318565,1,25,16,5,2,1,14,7,3,9,20
1,0.4954398827893405,11,27,10,55,1,1,12,1,3,8,1
0,0.18122614043372864,1,23,15,40,2,1,1,7,15,9,30
1,0.6903431688159217,1,2,13,55,1,1,7,7,5,9,1
1,0.23973244117489756,1,5,16,40,1,1,14,7,2,9,1
1,0.8314959807694282,12,14,10,43,3,1,14,7,3,9,1
0,0.08648750338600389,1,11,21,53,3,2,1,1,15,9,30
1,0.5876541916268314,1,6,17,40,5,3,14,7,3,9,1
1,0.7743751959768314,1,20,12,38,1,1,1,1,18,9,30
1,0.45915014161503404,1,11,13,8,3,2,12,7,4,7,1
1,0.577744751705549,1,11,11,29,3,2,7,7,3,9,1
1,0.5418346366257176,1,15,22,0,1,1,1,3,15,9,30
0,0.15212078170354545,1,30,14,53,2,1,1,7,15,9,30
0,0.13526577358100397,1,12,10,3,1,1,14,7,3,9,1
1,0.24665394498140933,1,6,11,48,1,1,1,1,15,7,30
0,0.2398391075146801,1,11,6,30,2,1,1,1,15,9,30
1,0.5164250105819944,12,26,19,10,1,1,7,1,4,9,1
0,0.43336437367771213,11,2,7,50,1,1,1,7,11,9,30
0,0.601869901457428,1,25,7,50,1,1,14,7,3,9,1
0,0.9296800499698542,1,12,8,20,2,3,13,7,1,6,1
0,0.4033345269674977,1,14,18,5,1,1,1,7,12,9,30
1,0.4270729160203249,12,27,21,54,1,1,1,1,15,9,30
1,0.8259519356878879,1,2,8,30,1,1,13,7,3,6,20
1,0.372194028908864,1,12,10,53,1,1,7,7,3,9,1
1,0.34020171261337934,1,12,10,10,1,1,11,7,5,9,1
0,0.0616315580933691,1,8,11,40,1,1,1,7,15,9,30
1,0.6766873589388833,9,18,8,40,3,2,14,1,2,9,1
1,0.8378733101110684,1,23,14,25,1,3,1,7,15,8,30
0,0.6652409995096153,1,15,18,5,1,1,14,7,4,9,1
1,1.085708646439253,12,31,11,23,1,3,7,1,5,9,1
1,0.5735634755222514,1,2,3,20,1,4,1,7,17,9,30
1,0.7263633856124965,1,23,7,52,1,1,7,1,4,9,1
1,0.5709652509685218,12,5,0,45,1,1,14,7,3,9,1
0,0.7935270728681746,1,23,14,8,1,2,7,1,4,9,1
1,0.5603193068203576,1,12,16,45,1,1,14,7,5,8,1
1,0.418752811548339,12,27,16,25,5,3,0,7,0,0,20
0,0.5629220752368941,12,27,17,30,1,1,12,7,4,9,1
1,0.38816039327547247,1,22,19,16,1,1,7,8,3,9,20
1,0.38009059862574224,1,22,22,30,1,1,14,1,3,9,1
1,1.0131621102069497,12,20,15,50,1,1,1,1,19,9,30
1,0.36165497941734565,1,21,0,49,5,4,7,7,3,7,1
1,0.857420861230371,1,11,17,24,3,3,1,7,14,9,30
1,0.18720720200893975,1,26,17,35,1,1,1,1,15,9,30
1,0.48623054814256583,1,12,7,35,5,3,14,7,4,9,1
0,-0.027676242710252808,1,17,8,15,1,1,1,7,14,9,30
0,0.06532570986374765,1,17,21,50,1,1,1,1,15,9,30
1,0.31143267468183583,1,14,7,10,1,1,14,7,6,9,1
0,0.40589000798106145,1,29,9,40,1,1,1,7,11,9,30
1,0.30666384185281953,1,14,12,22,1,1,1,7,11,9,30
0,0.3914448640657318,1,16,16,18,1,1,1,7,13,9,30
1,0.089553342889587,1,5,7,46,1,1,1,7,15,9,30
1,0.6889348017923796,1,13,15,11,1,1,7,1,3,9,1
1,0.6591285806929482,1,1,11,30,1,1,0,7,0,0,20
0,0.32326130799937675,1,8,5,48,1,1,14,7,5,9,1
0,0.2679758755006886,1,8,8,50,1,1,14,7,3,9,1
1,0.7909114637793871,12,26,14,50,2,4,0,7,0,0,20
1,0.8007542198806091,1,5,11,30,1,1,7,1,3,9,1
1,0.344359821255619,12,28,13,20,1,1,14,7,3,9,1
1,0.06852221691188076,1,19,17,25,1,1,1,7,12,9,30
0,0.8223748273032933,1,9,14,15,1,1,14,7,3,9,1
1,0.96177625138687,1,3,13,40,2,3,7,7,3,7,1
1,0.16656376385569543,1,21,9,28,1,1,1,7,12,9,30
1,0.6403314296922055,1,27,16,35,1,1,14,7,5,9,1
0,0.7227349718562737,1,5,13,6,5,4,13,7,4,4,1
1,1.0266006330253703,1,6,16,30,5,4,14,7,6,9,1
1,0.09046896466176142,1,19,6,50,1,1,14,7,3,7,1
1,0.5977884652461003,1,15,14,19,1,1,14,7,3,9,1
1,0.6067281503563688,1,3,14,45,1,1,14,7,5,9,1
0,0.30329787167530725,1,7,9,0,1,1,1,1,19,9,30
1,0.7837474183949524,12,30,12,2,1,1,1,1,18,9,30
0,0.9653087151085611,1,9,16,35,1,1,14,7,5,7,1
0,0.30823543446648716,1,14,11,42,1,1,1,7,14,9,30
0,0.7799487014627154,12,10,9,0,1,1,14,7,3,9,1
0,0.15904327542966984,1,17,14,15,1,1,1,7,12,8,30
0,0.5449805188530412,1,2,14,50,1,1,7,7,1,8,1
0,0.7024703167046996,1,17,10,27,1,1,0,7,0,0,20
0,0.6663522287440479,1,5,16,15,1,1,14,7,3,9,1
1,0.5562580067802766,1,30,17,8,2,1,14,7,4,9,1
0,0.1933410293366505,1,25,19,25,3,1,1,1,18,9,30
1,0.6680019283538716,1,17,7,35,2,3,1,7,15,9,30
1,0.49610837038092337,12,28,16,45,1,1,14,7,4,9,1
0,0.7205090546409881,10,30,15,50,1,1,14,7,2,9,1
1,1.0645276916093829,1,4,16,49,2,3,14,7,3,9,1
0,0.03360288691557272,1,27,18,30,1,1,1,1,15,9,30
0,0.3881459109069874,12,10,6,48,1,1,1,7,12,9,30
1,0.6539995889071711,1,25,6,45,1,1,14,7,3,9,1
1,0.7482621047008019,12,15,15,47,1,1,7,7,3,9,1
1,1.011246888183138,1,1,16,35,1,3,14,7,3,9,1
1,0.2553390717024987,1,29,22,25,1,1,1,7,11,9,30
1,0.46386334881276753,12,31,7,37,5,3,7,1,4,9,1
0,-0.03713190376512738,1,28,18,57,1,1,1,7,12,9,30
1,0.22650353990049565,1,8,11,50,1,1,1,1,15,9,30
0,0.3601136627070165,12,28,22,15,1,1,14,7,1,9,1
0,0.8222926467798872,12,22,11,45,1,1,14,7,2,9,1
1,0.6335893242455335,1,5,14,20,1,1,14,7,3,9,1
0,-0.05160522277124521,1,31,7,45,1,1,1,8,15,9,30
0,0.6719399583872222,1,7,17,20,2,3,14,7,3,9,1
0,0.06834638727782706,1,31,5,43,1,1,1,1,15,9,30
0,0.7228640278421953,12,26,15,8,5,3,13,7,3,5,1
1,1.0214714078392009,1,7,8,25,2,3,7,1,4,8,1
1,0.5597432787697685,1,7,8,32,1,3,14,7,4,8,1
1,0.445076127711951,1,2,19,40,1,1,7,1,4,9,1
1,0.4860866867159104,1,19,12,54,1,1,1,1,15,9,30
1,0.46917506479058385,1,12,17,43,1,1,14,7,4,9,1
1,0.46539612130365987,1,4,14,30,1,1,14,7,2,9,1
0,0.08046609526039272,1,12,11,45,1,1,1,1,15,9,30
1,0.5196896609492558,12,19,18,43,1,1,14,7,4,9,1
1,0.6931113755048669,1,4,17,17,2,2,7,1,4,9,1
1,0.553667938145341,1,16,22,26,1,1,14,7,3,9,1
0,0.552948305829949,1,24,16,8,1,1,1,1,15,9,30
0,0.1081866770015774,1,12,17,55,1,1,14,7,2,9,20
0,0.1007197935978934,1,18,8,15,1,1,1,7,11,9,30
0,0.037878162393593005,1,17,17,40,1,1,1,7,11,7,30
1,0.5170595289313717,1,1,8,58,5,3,14,7,3,9,1
1,0.22545720406675113,1,28,0,1,2,1,1,1,16,9,30
0,0.1350356412511878,1,4,19,55,1,1,1,7,15,8,30
1,0.7762301091323071,1,1,16,24,5,3,0,7,0,0,20
0,0.3174961255739619,1,23,12,51,2,1,1,1,15,9,30
1,0.6670340998593,12,31,14,15,1,1,14,7,4,9,1
1,0.5725987256930671,1,20,9,25,1,1,0,7,0,0,20
1,0.3022197976498486,1,27,22,39,1,1,1,1,15,9,30
1,0.4736513205391748,1,3,13,35,1,1,14,7,3,9,1
1,0.9749470800673427,1,2,16,55,5,4,1,2,14,9,30
1,0.5703156561358613,1,6,10,40,1,3,14,7,3,9,1
1,0.11611558655374866,1,12,8,13,5,1,1,7,11,9,30
0,-0.13839998169863063,1,6,17,40,2,2,1,1,16,9,30
1,0.64670936621644,12,3,13,50,1,1,14,7,3,9,1
0,0.6546620024390688,1,18,17,33,5,3,14,1,4,9,1
0,0.630642489940155,1,25,9,45,1,1,14,7,3,9,1
0,0.13804239711607363,1,13,17,0,5,2,14,7,3,9,1
0,0.6590412538481315,12,30,10,28,3,2,14,7,3,9,1
1,0.6118324187980303,11,26,14,7,1,1,1,2,12,9,30
1,0.6348431550456582,12,31,17,5,5,3,14,7,3,9,1
1,0.8334282950463527,1,24,16,18,2,1,7,7,3,9,1
0,0.7706743638804215,1,7,19,30,1,1,37,1,4,9,1
1,0.25443940846942437,1,6,14,40,2,2,13,7,3,3,1
0,0.5654497503718169,1,6,20,40,1,3,14,7,2,9,20
0,0.19240949620827963,12,26,9,8,1,1,1,7,15,9,30
1,0.5399191374366009,1,19,10,25,1,1,14,7,4,9,1
1,0.6421189668651884,1,19,2,9,1,1,14,7,3,9,1
0,0.4103666479282223,1,24,13,20,2,1,1,2,15,9,30
1,0.8258126242602243,1,9,14,15,1,1,7,1,3,9,1
0,0.46318007905405406,1,24,9,22,1,1,14,7,5,9,1
0,0.6677492745258516,1,6,17,30,5,4,14,7,3,9,1
0,0.41859912042193104,1,15,11,55,1,1,1,7,12,9,30
0,0.3735798238909342,1,16,8,17,1,1,1,7,12,9,30
1,0.7521281220710365,1,1,18,5,1,1,1,1,15,9,30
1,0.9124441515492293,12,30,12,20,1,1,14,7,5,9,1
1,0.16610460405140515,1,22,17,30,1,1,1,1,14,8,30
1,0.45737937454961913,1,6,22,45,2,3,12,7,4,9,1
1,0.22532670123258813,1,24,6,0,1,1,1,1,19,9,30
0,0.79277932096301,1,21,9,40,1,3,1,1,19,9,30
0,0.3274210065804984,1,6,17,3,1,1,14,7,3,9,1
1,0.45745900562850345,1,12,14,30,1,1,14,7,5,9,1
1,0.8095922962541426,1,24,12,7,1,1,14,7,5,9,1
0,0.21962133685372637,1,6,14,27,5,2,1,1,15,9,30
1,0.8568792663636003,12,23,14,40,1,1,1,7,12,9,30
1,0.5392243888746316,1,2,20,40,2,1,14,7,3,9,1
0,0.42202103290113896,1,18,12,4,1,1,14,7,3,9,1
1,0.3795823293513424,12,20,6,50,1,1,14,7,3,9,1
0,0.41052052576181597,1,14,18,5,1,1,14,7,3,9,1
0,0.2759098393743766,1,13,8,47,1,1,1,1,15,9,30
0,0.9040461575884416,12,25,13,40,1,1,1,1,16,9,30
0,0.6359246875595045,12,21,13,0,1,1,1,7,12,9,30
1,1.1043456979105606,1,1,21,34,2,3,7,1,5,9,1
1,0.9083754183871703,1,1,11,12,1,1,7,1,6,9,1
0,0.28192886677885304,1,21,11,5,1,1,1,7,12,9,30
0,0.16623339811832996,1,17,8,16,1,1,1,7,12,9,30
0,0.8610051956260476,1,11,10,20,2,2,0,7,0,0,20
1,0.8584094050160486,1,13,16,0,2,3,14,7,4,8,1
0,0.22400050558571452,1,30,13,55,2,1,1,1,15,9,30
1,0.11857305192190848,1,19,11,30,1,1,14,7,3,9,1
0,0.3258189892735861,1,18,9,5,1,1,14,7,4,9,1
0,0.1182155393641939,1,25,8,17,1,1,1,7,15,9,30
0,0.818456708101049,1,10,8,17,1,1,13,7,3,3,1
0,0.25049420394902433,1,9,22,44,1,1,1,1,15,9,30
1,0.29446259841285666,1,29,16,50,1,1,0,7,0,0,20
0,0.5798303105010142,12,16,18,16,1,1,14,7,3,9,1
0,0.8224917969025559,1,9,15,15,2,1,14,7,4,9,1
1,0.20385988834969979,1,29,12,26,1,1,1,7,11,9,30
1,1.0254614066927876,12,30,9,35,5,3,7,1,4,9,1
0,0.10141143944995001,1,28,17,40,1,1,1,7,12,9,30
0,0.6417125589629198,11,6,6,30,1,1,1,1,12,8,30
0,0.22205785642168108,1,17,21,23,1,1,1,8,18,9,30
1,0.755314950849338,1,3,15,0,1,1,1,7,11,9,30
1,0.8702709763454924,1,9,18,25,1,1,14,7,2,9,1
0,0.5006203217601164,1,18,8,17,1,1,14,7,2,8,1
1,0.7370654141531708,12,27,11,50,5,4,1,7,13,9,30
1,0.43442186245464104,12,23,18,42,1,1,1,1,18,9,30
0,0.6741399032196699,1,25,7,7,1,1,14,2,4,9,1
1,0.42492512357932133,1,11,16,0,3,2,7,1,5,9,1
1,0.35395840756284475,1,15,11,15,1,1,14,7,3,9,1
1,0.20905279500987906,1,16,9,15,1,1,14,7,3,9,1
0,0.2393561656190011,1,1,18,40,1,1,1,7,11,9,30
1,0.6146691046559503,12,31,13,8,5,4,7,7,3,9,1
1,0.9987766404039022,12,30,17,38,1,1,1,2,13,9,30
0,0.4900459298907538,1,13,21,0,1,1,14,7,3,9,1
1,0.5353697837587026,12,15,15,15,2,2,13,5,3,3,1
1,0.7659937712609338,1,5,15,10,1,3,14,7,3,8,1
0,0.22357816555443355,1,6,13,5,5,2,14,7,3,8,1
1,0.7271972860843376,1,5,14,20,2,1,14,7,5,9,1
1,0.6324743186136693,1,16,12,47,3,2,14,7,5,9,1
0,0.16102346083288352,1,13,17,23,1,1,1,7,15,8,30
0,0.3869640811535782,1,6,15,25,1,2,1,7,15,9,30
0,0.6968746314312435,1,27,22,11,1,1,7,1,6,9,1
1,0.6796947762385787,1,8,8,27,1,1,13,7,3,4,20
0,0.655932394622911,1,3,21,0,1,1,14,7,3,9,1
1,0.4562802995545657,12,4,19,31,1,1,1,1,15,9,30
0,0.4189236518835232,1,28,8,40,1,1,1,1,15,8,30
0,0.6186962491925837,1,14,14,8,1,1,7,7,3,3,1
0,0.27627663423331106,1,28,9,30,1,1,1,7,15,7,30
0,0.24078912815244158,1,23,16,15,2,1,1,7,14,8,30
1,0.2370490359706824,1,29,22,52,1,1,1,7,12,9,30
0,0.15448415988335584,1,15,18,35,1,1,1,1,15,9,30
1,0.8597994485369214,1,5,13,30,1,3,14,7,3,9,1
0,0.4471830917601223,1,24,16,17,1,1,14,7,3,9,20
1,0.13869120724586625,1,22,9,40,1,1,1,1,15,9,30
0,0.3321920500794427,1,29,16,35,1,1,1,1,15,9,30
0,0.24620927517899313,1,17,15,16,1,1,1,7,15,9,30
0,0.9651080104882405,12,25,14,50,2,1,14,7,5,9,1
1,0.4891020648605219,1,5,12,8,1,1,0,7,0,0,20
0,0.2708791436650784,1,7,22,48,1,1,13,7,3,2,20
1,0.4800249277811766,1,4,17,47,1,1,7,1,3,8,1
1,0.6610633095812173,1,21,20,12,1,1,14,7,4,9,1
1,0.5463460308087362,1,23,15,20,1,1,7,7,4,9,20
0,0.06058487129821013,1,13,13,20,1,1,1,8,19,9,30
0,1.0114161185705213,12,21,12,35,2,1,14,7,5,9,1
0,0.452069862859325,1,29,12,0,2,1,0,7,0,0,20
0,0.5025355928180563,1,22,11,5,1,1,7,7,2,9,20
0,0.3530300569688707,1,13,17,35,1,1,14,7,3,7,1
0,0.4909492347564919,1,22,16,20,1,1,14,7,3,9,1
0,0.38582260777182625,1,10,17,43,1,1,14,7,3,9,20
1,0.47603073181122046,1,22,9,37,2,1,1,7,14,3,30
0,0.3336959188931076,1,20,12,5,1,1,1,7,15,9,30
1,0.8726491891867332,1,7,12,20,1,3,14,7,3,8,20
0,0.1792253582363101,1,18,11,30,1,1,1,7,12,9,30
1,0.41180057886560195,1,6,19,40,1,3,12,7,5,9,1
1,0.7678372461885706,1,17,10,23,1,1,0,7,0,0,20
0,0.4476302297913715,1,7,12,21,1,1,1,7,15,9,30
0,0.025570389955575146,1,18,19,25,1,1,1,1,15,9,30
0,0.2032264467269187,1,10,10,15,1,1,1,7,15,9,30
0,0.4279604549996123,1,5,10,53,1,1,1,7,14,6,30
1,0.6453312131751378,1,11,18,20,2,4,1,7,15,9,30
0,0.06939405643780609,1,21,18,40,1,1,1,7,15,9,30
1,0.6827693865822341,1,6,14,59,5,4,14,7,3,9,1
1,0.27400502277334743,1,31,9,0,1,1,14,7,3,7,1
0,0.7198703795324726,12,22,16,20,1,1,7,8,4,9,1
1,0.6826939888241332,1,1,9,53,1,1,14,7,6,9,1
0,0.6132845043921594,1,8,12,10,1,1,1,2,15,9,30
